"","year","soe","total_arrivals","rank"
"1","2020","Johor",3391945,1
"2","2020","Selangor",1619117,2
"3","2020","Sarawak",297383,3
"4","2020","Kedah",289242,4
"5","2020","Perlis",161218,5
"6","2020","Pulau Pinang",135829,6
"7","2020","Sabah",102507,7
"8","2020","Kelantan",100375,8
"9","2020","Perak",46530,9
"10","2020","Melaka",10303,10
"11","2020","Negeri Sembilan",8352,11
"12","2020","W.P. Labuan",7366,12
"13","2020","Pahang",1792,13
"14","2020","Terengganu",49,14
"15","2021","Kedah",215047,1
"16","2021","Selangor",133015,2
"17","2021","Perlis",100921,3
"18","2021","Sarawak",9907,4
"19","2021","Johor",8627,5
"20","2021","Pulau Pinang",2639,6
"21","2021","Sabah",156,7
"22","2021","W.P. Labuan",90,8
"23","2021","Perak",69,9
"24","2021","Terengganu",47,10
"25","2021","Kelantan",27,11
"26","2021","Melaka",7,12
"27","2021","Pahang",7,13
"28","2021","Negeri Sembilan",0,14
"29","2022","Johor",9374160,1
"30","2022","Selangor",3252445,2
"31","2022","Sarawak",628152,3
"32","2022","Kedah",537127,4
"33","2022","Perlis",437251,5
"34","2022","Pulau Pinang",390584,6
"35","2022","Kelantan",186149,7
"36","2022","Sabah",142154,8
"37","2022","Perak",92868,9
"38","2022","Negeri Sembilan",50226,10
"39","2022","Melaka",49385,11
"40","2022","W.P. Labuan",6375,12
"41","2022","Pahang",1603,13
"42","2022","Terengganu",33,14
"43","2023","Johor",17211075,1
"44","2023","Selangor",7553241,2
"45","2023","Sarawak",1659515,3
"46","2023","Kedah",1067038,4
"47","2023","Pulau Pinang",1033007,5
"48","2023","Perlis",686268,6
"49","2023","Kelantan",547203,7
"50","2023","Sabah",354341,8
"51","2023","Perak",229234,9
"52","2023","Negeri Sembilan",85615,10
"53","2023","Melaka",56977,11
"54","2023","W.P. Labuan",22527,12
"55","2023","Pahang",9211,13
"56","2023","Terengganu",52,14
"57","2024","Johor",9935510,1
"58","2024","Selangor",4757639,2
"59","2024","Sarawak",1226087,3
"60","2024","Pulau Pinang",607978,4
"61","2024","Kedah",545741,5
"62","2024","Perlis",336704,6
"63","2024","Kelantan",336325,7
"64","2024","Sabah",333854,8
"65","2024","Perak",114713,9
"66","2024","Negeri Sembilan",36289,10
"67","2024","Melaka",23987,11
"68","2024","W.P. Labuan",11178,12
"69","2024","Pahang",5425,13
"70","2024","Terengganu",82,14
